HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References,Binomial Name,PlacentalMammal,Maximum longevity (months),YoungPerYear_Litters,YoungPerYear_Interval,YoungPerYear_Estimated,YoungMassPerYear_Estimated (g)
1542,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Echinops,telfairi,Lesser hedgehog tenrec,365.0,365.0,55.0,29.0,6.0,1.0,,7.67,50.0,180.0,0.0301,19.0,671,captivity,medium,acceptable,,,0.75,116.4,307.85,"36,148,434,455,542,610,671,678,680,731,1030,1103",Echinops telfairi,True,228.0,6.0,,6.0,46.019999999999996
1545,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,dobsoni,Dobson's shrew tenrec,669.0,669.0,61.0,29.0,2.67,,,3.95,,37.8,0.0266,5.6,434,captivity,small,acceptable,,,0.315,44.6,304.05,"36,420,434,455,610,678,731",Microgale dobsoni,True,67.19999999999999,,,,
1546,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,talazaci,Talazac's shrew tenrec,639.0,639.0,61.0,29.0,2.0,,,3.6,,50.0,0.0298,5.8,434,captivity,small,acceptable,,,0.243,44.0,303.95,"36,420,434,455,731",Microgale talazaci,True,69.6,,,,
1547,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Setifer,setosus,Greater hedgehog tenrec,198.0,258.0,54.0,24.0,3.0,1.0,,24.7,,225.0,0.0419,14.1,671,captivity,medium,acceptable,,,0.573,427.6,305.35,"36,420,434,455,610,671,678,680,731,1136",Setifer setosus,True,169.2,3.0,,3.0000000000000004,74.10000000000001
1548,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,Tenrec,182.0,,58.0,27.0,18.0,1.5,,21.0,225.0,900.0,0.0445,8.7,671,captivity,small,acceptable,,,0.729,650.0,306.15,"36,420,434,436,455,542,610,671,678,680,731",Tenrec ecaudatus,True,104.39999999999999,12.0,,12.0,252.0
1549,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,americana,Pronghorn,547.0,547.0,235.0,91.0,2.0,1.0,365.0,3000.0,8900.0,46100.0,0.0083,15.5,671,captivity,medium,acceptable,,,50.973,34779.3,311.15,"36,420,434,441,455,538,542,610,671,677,680,731,817,1135,1143",Antilocapra americana,True,186.0,2.0,2.0,2.0,6000.0
1550,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,nasomaculatus,Addax,1065.0,,282.0,198.0,1.0,1.0,355.0,5600.0,,92500.0,,28.0,671,captivity,large,high,,,,,,"434,455,538,610,671,680",Addax nasomaculatus,True,336.0,1.0,0.9726027397260274,0.9862062358989764,5522.754921034268
1551,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,melampus,Impala,456.0,395.0,198.0,167.0,1.0,1.0,365.0,5550.0,15900.0,52500.0,0.0043,25.6,671,captivity,large,high,,,,,,"434,455,610,671,676,677,680,731,1135",Aepyceros melampus,True,307.20000000000005,1.0,1.0,1.0,5550.0
1552,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,buselaphus,Hartebeest,730.0,,247.0,193.0,1.0,1.0,365.0,9050.0,,159000.0,,22.5,671,captivity,medium,acceptable,,,,,,"455,671",Alcelaphus buselaphus,True,270.0,1.0,1.0,1.0,9050.0
1554,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus,lervia,Aoudad,335.0,,149.0,122.0,1.2,2.0,229.0,4500.0,,92500.0,0.0053,21.7,671,captivity,large,acceptable,,,,,,"434,455,610,671,677,680,731",Ammotragus lervia,True,260.4,0.6,0.7528767123287671,0.6721056668391215,3024.475500776047
1555,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,marsupialis,Springbok,213.0,400.0,168.0,121.0,1.0,1.0,365.0,4160.0,,39000.0,0.0137,19.8,671,captivity,large,high,,,,,312.55,"434,448,455,542,671,731,1016",Antidorcas marsupialis,True,237.60000000000002,1.0,1.0,1.0,4160.0
1556,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antilope,cervicapra,Blackbuck,466.0,,168.0,60.0,1.0,1.9,231.0,3850.0,,37500.0,,23.9,671,captivity,large,high,,,,,,"434,455,610,671,951",Antilope cervicapra,True,286.79999999999995,0.5263157894736842,0.6328767123287672,0.5771421025092736,2221.997094660703
1558,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,bison,American bison,912.0,912.0,274.0,259.0,1.0,1.0,452.0,20000.0,158000.0,630000.0,,33.5,671,captivity,large,high,,,,,311.85,"80,82,434,441,455,542,610,671,680,951,1058,1142,1143",Bison bison,True,402.0,1.0,1.2383561643835617,1.112814523801501,22256.29047603002
1559,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,bonasus,European bison,730.0,730.0,270.0,213.0,1.0,1.0,641.0,23375.0,,610000.0,,26.4,671,captivity,medium,acceptable,,,,,311.5,"434,455,542,610,671,1047",Bison bonasus,True,316.79999999999995,1.0,1.7561643835616438,1.3252035253355026,30976.632404717373
