Specie,quantile,Weight males (kg),Weight females (kg),Birth weight males (kg),Birth weight females (kg),Age maturity males (months),Age maturity females (months),Age breeding males (months),Age breeding females (months),Age first parturition AVG (months),Age first parturition MIN (months),Age first parturition MAX (months),Parturition interval AVG (day),Parturition interval MIN (day),Parturition interval MAX (day),Length productive life (year),Daily gain (g),Carcass weight (kg),Dressing percentage (%),Litter size AVG (number),Litter size MIN (number),Litter size MAX (number),Young per year AVG (number)
Buffalo,0.005,307.78,300.0,16.32,15.305,18.22,20.145,24.0,26.66,24.0,22.0,17.85,49.6,67.2,83.245,8.0475,228.125,137.625,23.737000000000002,1.0,1.0,1.0,0.5828612479474548
Buffalo,0.05,350.0,320.1,18.012,16.06,20.0,21.0,24.0,30.0,29.9,22.8,36.0,180.0,320.4,427.45,8.475,262.5,161.25,41.730000000000004,1.0,1.0,1.0,0.6143267651888341
Buffalo,0.25,429.275,382.25,25.0,24.2,24.0,25.25,33.8,32.0,36.0,34.0,41.5,400.5,377.0,501.5,10.75,361.75,187.5,44.0,1.0,1.0,1.0,0.7417296786389415
Buffalo,0.5,520.5,448.25,30.0,27.95,30.0,30.0,36.0,36.0,42.0,36.0,50.0,445.0,400.0,574.0,13.5,542.5,240.5,48.5,1.0,1.0,2.0,0.8690476190476191
Buffalo,0.75,600.0,494.5,33.0,30.75,33.0,33.405,45.0,45.175,47.5,45.0,56.0,507.5,455.0,645.0,15.0,680.0,253.25,50.0,1.0,1.0,2.0,0.9395498456197077
Buffalo,0.95,827.4999999999999,651.05,38.8,35.949999999999996,39.779999999999994,40.385,180.0,180.0,54.0,58.199999999999996,60.0,619.8,566.8,723.3,20.0,787.5,350.25,54.15,1.0,1.0,2.0,1.2807017543859638
Buffalo,0.995,977.7499999999997,926.7499999999998,46.76,43.17,41.802,46.941500000000005,180.0,180.0,56.4768,61.46,64.12500000000001,630.0,650.8,887.595,20.0,863.0,480.52500000000015,59.889999999999986,1.018,1.0,2.0,1.953070175438596
Cattle,0.005,144.25,127.25,9.9,9.377,6.0,5.585,8.68,10.61,15.0,9.96,15.04,13.935,12.0,17.105,2.1595,0.49225,65.09,35.0,1.0,1.0,1.0,0.6662064648038815
Cattle,0.05,231.0,195.3,14.4685,12.97,8.0,9.0,15.0,15.0,24.0,20.0,27.0,280.0,270.0,290.5,3.564,70.0,102.06,45.0,1.0,1.0,1.0,0.6951336423992674
Cattle,0.25,400.0,317.625,22.0,20.0,13.0,13.0,24.0,20.0,27.0,25.0,34.0,377.75,347.5,420.0,7.0,500.0,200.0,50.0,1.0,1.0,2.0,0.8314350797266514
Cattle,0.5,700.0,470.0,30.0,27.0,16.0,18.0,36.0,34.485,32.0,30.0,40.0,406.5,365.0,450.0,9.0,872.5,270.0,54.5,1.0,1.0,2.0,0.9125000000000001
Cattle,0.75,950.0,600.0,36.0,33.0,24.0,24.0,52.0,72.0,38.0,36.0,48.0,441.5,400.0,547.0,12.0,1200.0,350.0,59.0,1.0,1.0,2.0,0.9605263157894738
Cattle,0.95,1199.0,750.0,44.35999999999994,41.07499999999999,36.0,36.0,120.0,101.89999999999998,49.86999999999999,46.599999999999966,60.0,547.0,474.45,700.0,17.0,1663.65,500.0,64.42499999999998,1.0,1.0,2.0,1.2166666666666668
Cattle,0.995,1350.0,900.0,51.63499999999988,48.0,55.19999999999982,60.0,150.0,144.1199999999999,60.0,56.0,66.22000000000003,631.04,573.8,801.6000000000008,20.0,2000.0,739.8074999999989,67.8155,3.1319999999999824,1.0,4.0,3.2444444444444445
Chicken,0.005,0.7,0.6,0.01676,0.01672,3.0429,3.6375,1.4100000000000001,1.42,4.1875,4.05,5.0,3.94,1.885,2.185,1.0,1.4885000000000002,0.8718,52.783,,,,
Chicken,0.05,1.1,0.8330000000000003,0.02,0.02,4.0600000000000005,4.2,5.0,5.0,4.5,4.5,5.025,30.400000000000006,9.850000000000001,12.850000000000001,1.0,9.48,0.888,59.83,,,,
Chicken,0.25,2.0,1.5,0.03,0.03,5.0,5.0,6.0,6.0,5.0,6.0,6.2,50.0,45.25,60.25,1.2,14.0,1.11,70.30000000000001,,,,
Chicken,0.5,2.5,1.9655,0.03,0.03,6.0,6.0,8.0,8.0,5.96,6.0,8.0,60.0,75.0,100.0,1.5,16.0,1.7,72.45,,,,
Chicken,0.75,3.255,2.5,0.035350000000000006,0.0357,6.0,6.525,10.0,10.0,6.745,8.0,10.0,70.0,105.0,135.0,3.0,207.5,2.66,78.5,,,,
Chicken,0.95,4.5,3.6,6.676000000000036,8.531999999999886,9.0,9.0,12.0,12.0,9.25,8.0,12.0,183.99999999999977,140.99999999999997,170.99999999999997,5.299999999999999,255.0,3.1999999999999993,84.16,,,,
Chicken,0.995,5.598000000000002,5.4544999999995865,33.21340000000001,33.2548,22.0,22.0,14.385000000000005,14.369999999999997,10.0,8.0,12.0,270.3999999999999,149.1,179.1,5.93,266.90000000000003,3.4699999999999998,89.992,,,,
Duck,0.005,1.0025000000000002,1.0412,0.030175,0.030175,1.6875,1.695,5.0,5.0,5.0,4.505,5.0075,28.0,28.0,28.0,2.0,,1.05,75.0,,,,
Duck,0.05,1.333,1.2634999999999998,0.03175,0.03175,3.25,3.3,5.0,5.0,5.0,4.55,5.075,28.0,28.0,28.0,2.0,,1.5,75.0,,,,
Duck,0.25,1.7,1.5550000000000002,0.03875,0.03875,5.0,5.25,5.0,5.0,5.0,4.75,5.375,28.0,28.0,28.0,2.0,,3.5,75.0,,,,
Duck,0.5,2.5,2.04,0.04,0.04,6.25,6.0,5.0,5.0,5.0,5.0,6.1,28.0,28.0,28.0,2.0,,66.5,75.0,,,,
Duck,0.75,3.4,3.0,0.04,0.04,8.0,8.0,5.0,5.0,6.125,5.5,7.525,28.0,28.0,28.0,2.0,,66.5,75.0,,,,
Duck,0.95,4.0,3.53,0.04714999999999999,0.0465,9.5,8.7,5.0,5.0,6.875,5.9,9.504999999999999,28.0,28.0,28.0,2.0,,66.5,75.0,,,,
Duck,0.995,7.2999999999999545,5.3300000000000125,0.05061499999999999,0.04965,15.25,15.090000000000007,5.0,5.0,6.9875,5.99,9.9505,28.0,28.0,28.0,2.0,,66.5,75.0,,,,
Goat,0.005,18.0,15.0,1.0,0.9364,4.5,4.5,4.91,6.0,5.0,4.0,6.0,12.525,52.43,53.5,3.0,25.48,3.94,37.784,1.0,1.0,1.0,0.9399710648148148
Goat,0.05,22.105,20.0,1.4,1.17,5.0,5.0,6.55,7.0,10.0,9.350000000000001,10.525,150.0,140.0,155.0,5.0,33.8,5.0,41.9,1.0,1.0,1.375,1.1052678571428571
Goat,0.25,36.0,28.9,2.1,1.82,7.0,7.0,11.75,10.0,14.0,12.0,18.0,247.0,202.5,270.0,7.0,80.0,10.96,45.0,1.2,1.0,2.0,1.5316964285714287
Goat,0.5,50.935,40.0,2.6,2.38,8.0,10.0,16.25,15.0,16.35,16.0,20.5,308.0,240.0,339.0,7.0,100.0,17.0,48.0,1.5,1.0,2.8,1.8554868481772033
Goat,0.75,70.0,50.0,3.0,2.8,12.0,12.0,24.0,21.25,23.75,20.0,30.0,365.0,272.0,370.0,8.0,160.0,24.0,52.0,1.81,1.12,3.0,2.417532467532468
