,Order,Family,Genus,Species,Binomial Name,AdultBodyMass (g),AdultForearmLen (mm),AdultHeadBodyLen (mm),AgeatEyeOpening (days),AgeatFirstBirth (days),BasalMetRate (mLO2hr),BasalMetRateMass (g),DispersalAge (days),GestationLen (days),InterbirthInterval (d),LitterSize (number),LittersPerYear (number),MaxLongevity (months),NeonateBodyMass (g),NeonateHeadBodyLen (mm),SexualMaturityAge (days),TeatNumber (number),WeaningAge (days),WeaningBodyMass (g),WeaningHeadBodyLen (mm),References,YoungPerYear_Litters (number),YoungPerYear_Interval (number),YoungPerYear_Estimated (number)
0,Artiodactyla,Camelidae,Camelus,dromedarius,Camelus dromedarius,492714.47,,,,1651.62,40293.0,407000.0,,386.51,614.41,0.98,1.0,480.0,36751.19,,1947.94,,389.38,,,511;543;719;1274;1297;1594;1654;1822;1848;2655;3044,0.98,1.6496487671232876,1.2714777983829768
1,Carnivora,Canidae,Canis,adustus,Canis adustus,10392.49,,745.32,,,,,329.99,65.0,,4.5,,137.0,,,249.88,8.0,52.89,,,542;543;730;1113;1297;1573;2655,,,
2,Carnivora,Canidae,Canis,aureus,Canis aureus,9658.7,,827.53,7.5,,,,,61.24,365.0,3.74,,192.0,211.82,,371.23,8.0,61.3,,,543;679;730;1113;1297;1573;2655,,3.74,3.74
3,Carnivora,Canidae,Canis,latrans,Canis latrans,11989.1,,872.39,11.94,365.0,3699.0,10450.0,255.0,61.74,365.0,5.72,,262.0,200.01,,372.9,8.0,43.71,,,367;542;543;730;1113;1297;1573;1822;2655,,5.72,5.719999999999999
4,Carnivora,Canidae,Canis,lupus,Canis lupus,31756.51,,1055.0,14.01,547.5,11254.2,33100.0,180.0,63.5,365.0,4.98,2.0,354.0,412.31,,679.37,9.0,44.82,,,367;542;543;730;1015;1052;1113;1297;1573;1594;2338;2655,2.49,4.98,3.5213917703090067
5,Artiodactyla,Bovidae,Bos,frontalis,Bos frontalis,800143.05,,2700.0,,,,,,273.75,403.02,1.22,1.0,314.4,22977.05,,610.97,,186.67,,,511;543;730;899;1297;1525;1848;2655;2986,1.22,1.3470805479452053,1.2819665629388117
6,Artiodactyla,Bovidae,Bos,grunniens,Bos grunniens,500000.0,,,,,,,,273.75,,1.0,1.0,267.0,,,755.15,,243.33,,,511;899;1297;1525;1848;2655,1.0,,1.0
7,Artiodactyla,Bovidae,Bos,javanicus,Bos javanicus,635974.34,,2075.0,,912.5,,,,296.78,,1.22,1.0,318.96,,,797.31,,287.74,,,511;730;899;1297;1525;1848;2152;2655,1.22,,1.22
8,Primates,Pitheciidae,Callicebus,cupreus,Callicebus cupreus,1117.02,,354.99,,,,,,129.25,395.41,1.01,,,73.6,,,,201.85,,,1544;1547;1605;1633;1848;2151;2251;2344;2655;2986,,1.0941482191780822,1.0941482191780822
9,Primates,Pitheciidae,Callicebus,discolor,Callicebus discolor,,,,,,,,,,,,,,,,,,,,,,,,
10,Primates,Pitheciidae,Callicebus,donacophilus,Callicebus donacophilus,897.67,,,,,,,,,,1.02,,,,,,,,,,1547;1605;1633;2151;2655,,,
11,Primates,Pitheciidae,Callicebus,dubius,Callicebus dubius,992.4,,,,,,,,,,1.02,,,,,,,,,,1605;1633;2151;2655,,,
12,Primates,Pitheciidae,Callicebus,hoffmannsi,Callicebus hoffmannsi,1067.61,,,,,,,,,,1.02,,,,,,,,,,1547;1605;1633;2151;2655,,,
13,Primates,Pitheciidae,Callicebus,lucifer,Callicebus lucifer,,,,,,,,,,,,,,,,,,,,,,,,
14,Primates,Pitheciidae,Callicebus,lugens,Callicebus lugens,,,,,,,,,,,,,,,,,,,,,,,,
15,Primates,Pitheciidae,Callicebus,medemi,Callicebus medemi,,,,,,,,,,,,,,,,,,,,,,,,
16,Primates,Pitheciidae,Callicebus,melanochir,Callicebus melanochir,,,,,,,,,,,,,,,,,,,,,,,,
17,Primates,Pitheciidae,Callicebus,modestus,Callicebus modestus,992.4,,,,,,,,,,1.02,,,,,,,,,,1605;1633;2151;2655,,,
18,Didelphimorphia,Didelphidae,Caluromys,derbianus,Caluromys derbianus,326.72,,231.0,,,215.11,344.0,,,,3.14,,60.0,,,251.71,,,,,256;498;730;889;890;905;955;1297;1412;1822;2151;2655,,,
19,Didelphimorphia,Didelphidae,Caluromys,lanatus,Caluromys lanatus,350.33,,273.3,,,,,,,,,,60.0,,,,,,,,543;889;890;905;2151;2655,,,
20,Didelphimorphia,Didelphidae,Caluromys,philander,Caluromys philander,246.47,,224.27,75.0,334.58,,,,23.99,166.5,4.18,2.0,76.0,0.2,10.0,314.52,7.0,119.65,23.0,,133;256;543;730;889;890;905;955;1297;1533;1534;1573;1760;1773;2151;2159;2225;2431;2655,2.09,1.906767123287671,1.9962823667185043
21,Didelphimorphia,Didelphidae,Caluromysiops,irrupta,Caluromysiops irrupta,257.48,,234.52,,,,,,,,2.0,,94.0,,,,,,,,543;730;889;905;1297;2151;2655,,,
22,Cingulata,Dasypodidae,Calyptophractus,retusus,Calyptophractus retusus,129.99,,157.5,,,,,,,,,,144.0,,,,,,,,543;890;899;2151;2655,,,
23,Artiodactyla,Camelidae,Camelus,bactrianus,Camelus bactrianus,554515.91,,,,1460.0,,,,397.99,730.0,1.39,1.0,480.0,34346.64,,1330.6,,368.13,,,511;543;600;719;899;1297;1848;2401;2655;2987,1.39,2.78,1.965756851698602
24,Artiodactyla,Bovidae,Bos,sauveli,Bos sauveli,791321.76,,2175.0,,,,,,,,,,,,,755.15,,,,,511;899;1525;1848;2655,,,
25,Artiodactyla,Bovidae,Bos,taurus,Bos taurus,618642.42,,,,,,,,280.48,,,1.0,240.0,,,755.15,,,,,543;1052;1577;1594;1758;1848;2655,,,
26,Artiodactyla,Bovidae,Boselaphus,tragocamelus,Boselaphus tragocamelus,182253.04,,2000.0,,912.5,,,,248.49,400.5,1.39,,260.4,5875.0,,,,,,,543;730;1297;1525;1848;2655;2986,,1.5251917808219178,1.5251917808219178
27,Rodentia,Muridae,Brachiones,przewalskii,Brachiones przewalskii,,,,,,,,,,,,,,,,,,,,,,,,
28,Carnivora,Canidae,Canis,mesomelas,Canis mesomelas,8247.3,,707.27,,,,,270.0,62.5,273.75,3.89,,168.0,177.2,,241.4,8.0,34.1,,,542;543;730;1113;1297;1573;2655,,2.9175000000000004,2.9175000000000004
29,Carnivora,Canidae,Canis,simensis,Canis simensis,14361.86,,938.19,,,,,180.0,63.61,365.0,,,,,,754.74,8.0,69.6,,,542;730;1113;1573;2655,,,
30,Rodentia,Spalacidae,Cannomys,badius,Cannomys badius,472.07,,,,,172.0,344.0,,41.49,,2.0,,48.0,,,,,50.1,,,543;1297;1822;2655,,,
31,Rodentia,Cricetidae,Cansumys,canus,Cansumys canus,,,,,,,,,,,,,,,,,,,,,,,,
32,Cetacea,Neobalaenidae,Caperea,marginata,Caperea marginata,31999999.98,,,,,,,,,,0.98,,,,,,,,,,1297;2655,,,
