,Order,Family,Genus,Species,PlacentalMammal,AdultBodyMass (g),NeonateBodyMass (g),LitterSize (number),GestationLen (d),InterbirthInterval (d),LittersPerYear (number),WeaningAge (d),WeaningBodyMass (g),FemaleSexualMaturity (d),MaleSexualMaturity (d),PantheriaSexualMaturity (d),AgeAtFirstBirth (d),MaxLongevity (m),BasalMetabolicRate (W),BasalMetabolicRate (mLO2hr),BasalMetabolicRate (g),RefsAnAge,RefsPanTHERIA,BinomialName,YoungPerYear_Litters (number),YoungPerYear_Interval (number),YoungPerYear_Estimated (number),YoungMassPerYear_Estimated (g),Order_savage04,Family_savage04,mass_g,BMR_W,BMR_MJ_per_day,species_average_mass_g,species_average_BMR_W,species_average_BMR_MJ_per_day,ref
0,Rodentia,Muridae,Abditomys,latidens,True,268.0899999999999,,,,,,,,,,,,,,,,,2152,Abditomys latidens,,,,,,,,,,,,,
1,Rodentia,Muridae,Abeomelomys,sevia,True,54.88000000000002,,1.0,,,,,,,,,,,,,,,456;865;977;1297;2152;2655;2803,Abeomelomys sevia,,,,,,,,,,,,,
2,Rodentia,Cricetidae,Abrawayaomys,ruschii,True,62.98999999999998,,,,,,,,,,,,,,,,,2655,Abrawayaomys ruschii,,,,,,,,,,,,,
3,Rodentia,Abrocomidae,Abrocoma,bennettii,True,,,3.0000000000000004,,,2.0,,,,,,,27.60000000000001,,,,"434,455,671",543;890;1297;1492;2655,Abrocoma bennettii,1.5000000000000002,,1.5000000000000002,,,,,,,,,,
4,Rodentia,Abrocomidae,Abrocoma,boliviensis,True,158.00000000000003,,,,,,,,,,,,,,,,,2655,Abrocoma boliviensis,,,,,,,,,,,,,
5,Rodentia,Abrocomidae,Abrocoma,budini,True,,,,,,,,,,,,,,,,,,,Abrocoma budini,,,,,,,,,,,,,
6,Rodentia,Abrocomidae,Abrocoma,cinerea,True,193.63999999999993,13.260000000000002,2.19,109.49,,,,,,,,,,,,,,890;1297;1627;2655,Abrocoma cinerea,,,,,,,,,,,,,
7,Rodentia,Abrocomidae,Abrocoma,famatina,True,,,,,,,,,,,,,,,,,,,Abrocoma famatina,,,,,,,,,,,,,
8,Rodentia,Abrocomidae,Abrocoma,shistacea,True,,,,,,,,,,,,,,,,,,,Abrocoma shistacea,,,,,,,,,,,,,
9,Rodentia,Abrocomidae,Abrocoma,uspallata,True,,,,,,,,,,,,,,,,,,,Abrocoma uspallata,,,,,,,,,,,,,
10,Rodentia,Abrocomidae,Abrocoma,vaccarum,True,,,,,,,,,,,,,,,,,,,Abrocoma vaccarum,,,,,,,,,,,,,
11,Rodentia,Cricetidae,Abrothrix,andinus,True,24.91,,,,,,,,,,,,,,64.79999999999997,34.60000000000001,,890;1822;2655,Abrothrix andinus,,,,,,,,,,,,,
12,Rodentia,Cricetidae,Abrothrix,hershkovitzi,True,,,,,,,,,,,,,,,,,,,Abrothrix hershkovitzi,,,,,,,,,,,,,
13,Rodentia,Cricetidae,Abrothrix,illuteus,True,47.790000000000006,,,,,,,,,,,,,,,,,2655,Abrothrix illuteus,,,,,,,,,,,,,
14,Rodentia,Cricetidae,Abrothrix,jelskii,True,34.50000000000001,,,,,,,,,,,,,,,,,890;2655,Abrothrix jelskii,,,,,,,,,,,,,
15,Rodentia,Cricetidae,Abrothrix,lanosus,True,27.829999999999995,,,,,,,,,,,,,,45.60000000000001,24.000000000000004,,1473;1822;2655,Abrothrix lanosus,,,,,,,,,,,,,
16,Rodentia,Cricetidae,Abrothrix,longipilis,True,38.85999999999999,3.29,3.7000000000000006,,17.0,,,,,,51.72999999999999,112.30000000000004,,,57.60999999999998,42.29999999999999,,730;890;1114;1130;1297;1420;1449;1473;1492;1822;2006;2008;2242;2655,Abrothrix longipilis,,0.1723287671232877,0.1723287671232877,0.5669616438356165,,,,,,,,,
17,Rodentia,Cricetidae,Abrothrix,markhami,True,,,,,,,,,,,,,,,,,,,Abrothrix markhami,,,,,,,,,,,,,
18,Rodentia,Cricetidae,Abrothrix,olivaceus,True,24.52,,5.34,,,2.0,,,,,170.38000000000005,,12.0,,49.18999999999999,27.0,,730;890;1025;1114;1130;1297;1449;1473;1492;1822;1829;2006;2008;2242;2655,Abrothrix olivaceus,2.67,,2.67,,,,,,,,,,
19,Rodentia,Cricetidae,Abrothrix,sanborni,True,24.7,,,,,,,,,,,,,,,,,890;2008;2655,Abrothrix sanborni,,,,,,,,,,,,,
20,Chiroptera,Pteropodidae,Acerodon,celebensis,True,384.8400000000001,,0.98,,,,,,,,,,,,,,,978;1297;1658;2151;2655,Acerodon celebensis,,,,,,,,,,,,,
21,Chiroptera,Pteropodidae,Acerodon,humilis,True,,,,,,,,,,,,,,,,,,79;1658;2151,Acerodon humilis,,,,,,,,,,,,,
22,Chiroptera,Pteropodidae,Acerodon,jubatus,True,1087.0399999999995,,1.0,,,1.0,,,,,,,,,,,,79;679;1015;1309;1439;1658;2017;2151;2655;2885,Acerodon jubatus,1.0,,1.0,,,,,,,,,,
23,Chiroptera,Pteropodidae,Acerodon,leucotis,True,,,,,,,,,,,,,,,,,,679;1658;2151,Acerodon leucotis,,,,,,,,,,,,,
24,Chiroptera,Pteropodidae,Acerodon,mackloti,True,467.93000000000006,,0.98,,,,,,,,,,,,,,,79;1297;1386;1621;1658;2017;2143;2151;2622;2655;3023,Acerodon mackloti,,,,,,,,,,,,,
25,Carnivora,Felidae,Acinonyx,jubatus,True,38446.1,489.00000000000017,3.0000000000000004,88.00000000000003,537.0000000000001,0.7,106.99999999999996,1940.0000000000007,456.00000000000017,456.00000000000017,741.9699999999998,1217.2699999999998,245.99999999999991,61.77000000000003,17114.999999999996,48900.00000000004,"36,420,434,455,610,671,680,817,1142",367;542;543;730;1052;1113;1297;1573;1822;2655,Acinonyx jubatus,4.2857142857142865,4.413698630136988,4.349235711250388,2126.77626280144,Carnivora,Felidae,37900.0,50.107,4.3292448,38 446.1,61.77,5.336928,White & Seymour (2003)
26,Carnivora,Felidae,Acinonyx,jubatus,True,38446.1,489.00000000000017,3.0000000000000004,88.00000000000003,537.0000000000001,0.7,106.99999999999996,1940.0000000000007,456.00000000000017,456.00000000000017,741.9699999999998,1217.2699999999998,245.99999999999991,61.77000000000003,17114.999999999996,48900.00000000004,"36,420,434,455,610,671,680,817,1142",367;542;543;730;1052;1113;1297;1573;1822;2655,Acinonyx jubatus,4.2857142857142865,4.413698630136988,4.349235711250388,2126.77626280144,Carnivora,Felidae,39000.0,76.148,6.579187199999999,,,0.0,Lovegrove (2000)
27,Rodentia,Muridae,Acomys,airensis,True,,,,,,,,,,,,,,,,,,,Acomys airensis,,,,,,,,,,,,,
28,Rodentia,Muridae,Acomys,cahirinus,True,42.00000000000001,5.27,3.0000000000000004,37.99999999999999,34.00000000000001,3.5,13.999999999999996,15.160000000000002,57.999999999999986,59.000000000000014,51.9,103.00000000000001,70.80000000000004,0.258,,,"36,245,246,420,434,455,610,671,680,731,966",456;543;771;1244;1297;1542;2593;2655;2978,Acomys cahirinus,0.8571428571428573,0.2794520547945207,0.48941836161000113,2.579234765684706,Rodentia,Muridae,42.0,0.258,0.0222912,42,0.258,0.0222912,White & Seymour (2003)
29,Rodentia,Muridae,Acomys,chudeaui,True,,,,,,,,,,,,,,,,,,,Acomys chudeaui,,,,,,,,,,,,,
30,Rodentia,Muridae,Acomys,cilicicus,True,,,,,,,,,,,,,48.00000000000001,,,,671,,Acomys cilicicus,,,,,,,,,,,,,
31,Rodentia,Muridae,Acomys,cineraceus,True,,,,,,,,,,,,,,,,,,1399,Acomys cineraceus,,,,,,,,,,,,,
32,Rodentia,Muridae,Acomys,dimidiatus,True,,,,,,,,,,,,,,,,,,,Acomys dimidiatus,,,,,,,,,,,,,
33,Rodentia,Muridae,Acomys,ignitus,True,,,,,,,,,,,,,,,,,,,Acomys ignitus,,,,,,,,,,,,,
34,Rodentia,Muridae,Acomys,johannis,True,,,,,,,,,,,,,,,,,,,Acomys johannis,,,,,,,,,,,,,
35,Rodentia,Muridae,Acomys,kempi,True,21.990000000000002,,,,,,,,,,,,,,,,,2655,Acomys kempi,,,,,,,,,,,,,
36,Rodentia,Muridae,Acomys,louisae,True,20.189999999999998,,,,,,,,,,,,,,,,,2655,Acomys louisae,,,,,,,,,,,,,
37,Rodentia,Muridae,Acomys,minous,True,62.50000000000002,,,,,,,,,,,,,,,,,2655,Acomys minous,,,,,,,,,,,,,
38,Rodentia,Muridae,Acomys,mullah,True,,,,,,,,,,,,,,,,,,,Acomys mullah,,,,,,,,,,,,,
39,Rodentia,Muridae,Acomys,nesiotes,True,,,,,,,,,,,,,,,,,,,Acomys nesiotes,,,,,,,,,,,,,
40,Rodentia,Muridae,Acomys,percivali,True,21.990000000000002,,,,,,,,,,,,,,,,,2655,Acomys percivali,,,,,,,,,,,,,
41,Rodentia,Muridae,Acomys,russatus,True,42.35,,2.5,,,,,,,,,,,,,,,1297;1542;1765;2593;2655;2978,Acomys russatus,,,,,Rodentia,Muridae,51.1,0.23,0.019872,55.4,0.24,0.020736,Heusner (1991)
42,Rodentia,Muridae,Acomys,russatus,True,42.35,,2.5,,,,,,,,,,,,,,,1297;1542;1765;2593;2655;2978,Acomys russatus,,,,,Rodentia,Muridae,55.55,0.239,0.020649599999999997,,,0.0,White & Seymour (2003)
43,Rodentia,Muridae,Acomys,russatus,True,42.35,,2.5,,,,,,,,,,,,,,,1297;1542;1765;2593;2655;2978,Acomys russatus,,,,,Rodentia,Muridae,60.0,0.251,0.0216864,,,0.0,Lovegrove (2003)
44,Rodentia,Muridae,Acomys,seurati,True,,,,,,,,,,,,,,,,,,,Acomys seurati,,,,,,,,,,,,,
45,Rodentia,Muridae,Acomys,spinosissimus,True,26.5,,2.71,,,,,,,,,,,,44.120000000000005,27.019999999999996,,730;1297;1798;1822;2655,Acomys spinosissimus,,,,,Rodentia,Muridae,27.02,0.246,0.021254400000000003,27,0.246,0.021254400000000003,White & Seymour (2003)
46,Rodentia,Muridae,Acomys,subspinosus,True,21.92,,,,,,,,,,,,,,83.43,32.25,,730;1822;2442;2655,Acomys subspinosus,,,,,Rodentia,Muridae,32.25,0.465,0.040176,32.3,0.465,0.040176,White & Seymour (2003)
47,Rodentia,Muridae,Acomys,wilsoni,True,,3.49,2.3,38.99999999999999,,3.5,,10.000000000000002,,,,,67.19999999999999,,,,"455,610,671,978",1297;1399;2655,Acomys wilsoni,0.6571428571428571,,0.6571428571428571,2.2934285714285716,,,,,,,,,
48,Rodentia,Octodontidae,Aconaemys,fuscus,True,129.95,,3.2299999999999995,,,,,,,,,,,,120.96000000000004,111.99999999999996,,890;1297;1822;2151;2242;2655,Aconaemys fuscus,,,,,Rodentia,Octodontidae,112.0,0.675,0.05832000000000001,112,0.675,0.05832000000000001,White & Seymour (2003)
49,Rodentia,Octodontidae,Aconaemys,porteri,True,,,,,,,,,,,,,,,,,,,Aconaemys porteri,,,,,,,,,,,,,
50,Rodentia,Octodontidae,Aconaemys,sagei,True,96.49,,,,,,,,,,,,,,,,,890;2151;2655,Aconaemys sagei,,,,,,,,,,,,,
